data,dim_manifold,num_classes,alpha,chosen_model,sweep_seed,percent_snn,sampler_type,gamma_init_type,gamma_fixed,reset_nsn,no_non_recurrent,n_trials
randman,2,2,3,NSN_with_LIF_output,7,,tpe,rand,False,True,True,21
randman,2,2,3,NSN_with_LIF_output,8,,tpe,rand,False,True,True,21
randman,2,2,3,NSN_with_LIF_output,9,,tpe,rand,False,True,True,21
randman,2,2,3,NSN_with_LIF_output,10,,tpe,rand,False,True,True,21
randman,2,2,3,Hybrid_NSN_SNN_V1_same_layer,5,0.5,tpe,rand,False,True,True,21
randman,2,2,3,Hybrid_NSN_SNN_V1_same_layer,9,0.75,tpe,rand,False,True,True,21
randman,2,2,3,Hybrid_NSN_SNN_V1_same_layer,9,0.8,tpe,rand,False,True,True,21
randman,2,2,3,Hybrid_NSN_SNN_V1_same_layer,9,0.85,tpe,rand,False,True,True,21
randman,2,2,3,Hybrid_NSN_SNN_V1_same_layer,9,0.9,tpe,rand,False,True,True,21
randman,2,2,3,Hybrid_NSN_SNN_V1_same_layer,9,0.95,tpe,rand,False,True,True,21
